Новый ультрабук Asus 403SA 4 ядра / диск SSD;https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_403sa_4_yadra_disk_ssd_938872038;16 000;м. Новочеркасская
Ноутбук;https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_1058262874;3 000 ;м. Новочеркасская
Новый Asus Zenbook UX330 супер тонкий 512Гб SSD;https://www.avito.ru/sankt-peterburg/noutbuki/novyy_asus_zenbook_ux330_super_tonkiy_512gb_ssd_1216729072;51 000;м. Новочеркасская
Игровой Ноутбук;https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_1473934560;21 880;м. Проспект Ветеранов
Ультрабук Timeline \2-Ядра\3-Гига\320gb HDD;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_timeline_2-yadra3-giga320gb_hdd_937540086;7 999 ;м. Адмиралтейская
Ультрабук Fujitsu Lifebook U772 Японец;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_fujitsu_lifebook_u772_yaponets_930168441;19 900;м. Озерки
Ультрабук HP 15.6 i7-2640M/16гб/2Гб/1Тб на гаранти;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_15.6_i7-2640m16gb2gb1tb_na_garanti_1215637047?slocation=653240;18 500;
"Ультрабук HP Folio 9470m i5-3437U/4096/128 SSD 14""";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_folio_9470m_i5-3437u4096128_ssd_14_1149362357;20 000;м. Международная
"Ультрабук HP 9470m Core i5, 14""";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_9470m_core_i5_14_929037021;21 800;м. Новочеркасская
Ультрабук asus ZenBook UX330C;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_zenbook_ux330c_1720789377?slocation=653240;39 990;
Ультрабук Sony PCG-31111V (vpcz12X9R) i7/6/180;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_sony_pcg-31111v_vpcz12x9r_i76180_1583221228;20 000;м. Площадь Ленина
Ультрабук HP Folio 13 на Core i5 и SSD как Новый;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_folio_13_na_core_i5_i_ssd_kak_novyy_1376184849;25 990;м. Проспект Ветеранов
